sktam_student_id,student_matrixnumber,student_name,student_gender,sktam_classes,Attendance_Rate,Participation_score,prev_score_AlQuran,prev_score_Akidah,prev_score_Sirah,prev_score_Adab,prev_score_JawiDanKhat,prev_score_BahasaArab,prev_score_Ibadah,prev_score_PCHI,prev_score_AmaliSolat,A_score_AlQuran,UnderperformScore_AlQuran,A_score_Akidah,UnderperformScore_Akidah,A_score_Sirah,UnderperformScore_Sirah,A_score_Adab,UnderperformScore_Adab,A_score_JawiDanKhat,UnderperformScore_JawiDanKhat,A_score_BahasaArab,UnderperformScore_BahasaArab,A_score_Ibadah,UnderperformScore_Ibadah,A_score_PCHI,UnderperformScore_PCHI,A_score_AmaliSolat,UnderperformScore_AmaliSolat,Advice
0,KAFAALHUDAKULIM-ID0,Michelle Rasmussen,F,Saidina Ali,93.2100223681147,80.55370349745752,39.35010343990986,43.94463633864459,80.65773104650887,98.74937663284803,63.83459171954237,38.09905915322837,71.41596226664763,69.0918529173104,47.62055648401535,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,(LOW)Good attendance performance! |  (LOW)Good participation in class |  Focus on AlQuran. | Focus on Akidah. | Focus on BahasaArab. | Focus on AmaliSolat. | OVERALL SUMMARY: (HIGH) 4 UNDERPERFORM SUBJECT. Help needed from teacher to further understand which topic student lack. Keep it up a good attendance and participation in class
1,KAFAALHUDAKULIM-ID1,Cristina Guzman,F,Saidina Ali,80.52166418872571,86.4638853854434,85.77176811305853,65.99683764930577,35.310940186467654,70.53210258725248,95.73073405028846,67.00232626295613,31.693092560185132,67.69251124300074,55.12956231118511,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,(LOW)Good attendance performance! |  (LOW)Good participation in class |  Focus on Sirah. | Focus on Ibadah. | OVERALL SUMMARY: (MEDIUM) 2 UNDERPERFORM SUBJECT. Good attendance and participation in class. Keep improve student subject score
2,KAFAALHUDAKULIM-ID2,Valerie Baird,F,Saidina Ali,79.96069749260568,75.6886476437492,67.2323612749793,97.56736123281898,64.44794328550955,82.9132841354743,73.66869813298808,93.78525413651661,39.149386574781914,71.21356434110918,86.18294493762406,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,(LOW)Good attendance performance! |  (LOW)Good participation in class |  Focus on Ibadah. | OVERALL SUMMARY: (MEDIUM) 1 UNDERPERFORM SUBJECT. Good attendance and participation in class. Keep improve student subject score
3,KAFAALHUDAKULIM-ID3,Theresa Mccarty,F,Saidina Ali,96.87648720503336,80.91849436010247,43.6065903765331,78.87030727975076,98.85551525190004,49.86137827976131,79.15114498568067,45.95755870795003,49.28349568491631,39.737111442343206,47.81078095652638,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,(LOW)Good attendance performance! |  (LOW)Good participation in class |  Focus on AlQuran. | Focus on Adab. | Focus on BahasaArab. | Focus on Ibadah. | Focus on PCHI. | Focus on AmaliSolat. | OVERALL SUMMARY: (HIGH) 6 UNDERPERFORM SUBJECT. Help needed from teacher to further understand which topic student lack. Keep it up a good attendance and participation in class
4,KAFAALHUDAKULIM-ID4,Yolanda Murphy,F,Saidina Ali,94.32286591154056,97.04818469536343,69.26489629176645,46.62880764600676,32.26567322109691,39.49430965191391,100.68976021291802,63.2028304948019,72.48237089450899,82.80741984036786,99.06803624071259,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,(LOW)Good attendance performance! |  (LOW)Good participation in class |  Focus on Akidah. | Focus on Sirah. | Focus on Adab. | OVERALL SUMMARY: (MEDIUM) 3 UNDERPERFORM SUBJECT. Good attendance and participation in class. Keep improve student subject score
5,KAFAALHUDAKULIM-ID5,Tara Cooke,F,Saidina Ali,97.72872708691978,73.73397862300412,76.41028128296679,48.543018636691585,49.59567039237005,61.160569409412076,81.62232382308423,81.79767371690201,94.44209952778554,83.9908564945155,67.4924239129839,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,(LOW)Good attendance performance! |  (MEDIUM)Keep improve participation for better understand lesson in class |  Focus on Akidah. | Focus on Sirah. | OVERALL SUMMARY: (MEDIUM) 2 UNDERPERFORM SUBJECT. Good attendance. Student need to improve their subject score and participation in class
6,KAFAALHUDAKULIM-ID6,Teresa Carter,F,Saidina Ali,81.53157241378709,73.32697316728888,79.08624171798314,89.65199201582199,55.590892509831676,78.45289619395481,97.44089333127923,51.09953848456428,67.24769503860276,33.18125308526198,31.043163692950717,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,(LOW)Good attendance performance! |  (MEDIUM)Keep improve participation for better understand lesson in class |  Focus on PCHI. | Focus on AmaliSolat. | OVERALL SUMMARY: (MEDIUM) 2 UNDERPERFORM SUBJECT. Good attendance. Student need to improve their subject score and participation in class
7,KAFAALHUDAKULIM-ID7,Donald Cortez,M,Saidina Ali,80.45742114070828,96.42873221505404,66.09968326956192,76.98984402742724,84.78407917952143,36.64346105137304,93.53160485542033,58.413643108431515,94.19726638716402,85.63165313785373,86.15358771503296,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,(LOW)Good attendance performance! |  (LOW)Good participation in class |  Focus on Adab. | OVERALL SUMMARY: (MEDIUM) 1 UNDERPERFORM SUBJECT. Good attendance and participation in class. Keep improve student subject score
8,KAFAALHUDAKULIM-ID8,Michael Thomas,M,Saidina Ali,80.88267410094265,99.47523885754298,67.34942178910396,42.61082261314777,47.18243837277043,91.5693513525745,47.02242775702854,35.0227457022671,57.44271232771773,96.76540324884492,49.54230831877375,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,(LOW)Good attendance performance! |  (LOW)Good participation in class |  Focus on Akidah. | Focus on Sirah. | Focus on JawiDanKhat. | Focus on BahasaArab. | Focus on AmaliSolat. | OVERALL SUMMARY: (HIGH) 5 UNDERPERFORM SUBJECT. Help needed from teacher to further understand which topic student lack. Keep it up a good attendance and participation in class
9,KAFAALHUDAKULIM-ID9,Patricia Moreno,F,Saidina Ali,84.56580349736787,52.38455971843886,66.187091578212,84.82989133866789,60.06074148168513,69.28158447491182,93.36455887080854,67.49925073201459,98.33747603519866,72.4745062979312,81.6604072782879,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,(LOW)Good attendance performance! |  (MEDIUM)Keep improve participation for better understand lesson in class |  OVERALL SUMMARY: (LOW) 0 UNDERPERFORM SUBJECT. Good attendance. Maintain student subject scores. In the meantime please improve student participation in class
